Gr.No,school,sex,age,guardian
1000,GP,F,18,mother
1001,GP,F,17,father
1002,GP,F,15,mother
1003,GP,F,15,mother
1004,GP,F,16,father
1005,GP,M,16,mother
1006,GP,M,16,mother
1007,GP,F,17,mother
1008,GP,M,15,mother
1009,GP,M,15,mother
1010,GP,F,15,mother
1011,GP,F,15,father
1012,GP,M,15,father
1013,GP,M,15,mother
1014,GP,M,15,other
1015,GP,F,16,mother
1016,GP,F,16,mother
1017,GP,F,16,mother
1018,GP,M,17,mother
1019,GP,M,16,father
1020,GP,M,15,mother
1021,GP,M,15,father
1022,GP,M,16,mother
1023,GP,M,16,mother
1024,GP,F,15,mother
1025,GP,F,16,mother
1026,GP,M,15,mother
1027,GP,M,15,mother
1028,GP,M,16,mother
1029,GP,M,16,mother
1030,GP,M,15,mother
1031,GP,M,15,mother
1032,GP,M,15,mother
1033,GP,M,15,mother
1034,GP,M,16,mother
1035,GP,F,15,father
1036,GP,M,15,mother
1037,GP,M,16,mother
1038,GP,F,15,mother
1039,GP,F,15,mother
1040,GP,F,16,mother
1041,GP,M,15,other
1042,GP,M,15,father
1043,GP,M,15,father
1044,GP,F,16,father
1045,GP,F,15,mother
1046,GP,F,16,mother
1047,GP,M,16,mother
1048,GP,M,15,mother
1049,GP,F,15,father
1050,GP,F,16,mother
1051,GP,F,15,mother
1052,GP,M,15,father
1053,GP,F,15,mother
1054,GP,F,15,mother
1055,GP,F,16,mother
1056,GP,F,15,mother
1057,GP,M,15,mother
1058,GP,M,15,father
1059,GP,F,16,mother
1060,GP,F,16,mother
1061,GP,F,16,father
1062,GP,F,16,father
1063,GP,F,16,mother
1064,GP,F,15,father
1065,GP,F,16,mother
1066,GP,M,15,mother
1067,GP,F,16,mother
1068,GP,F,15,mother
1069,GP,F,15,father
1070,GP,M,16,father
1071,GP,M,15,mother
1072,GP,F,15,mother
1073,GP,M,16,mother
1074,GP,F,16,mother
1075,GP,M,15,mother
1076,GP,M,15,mother
1077,GP,F,16,mother
1078,GP,M,17,mother
1079,GP,F,16,mother
1080,GP,M,15,father
1081,GP,M,15,mother
1082,GP,F,15,mother
1083,GP,M,15,mother
1084,GP,F,15,father
1085,GP,F,15,father
1086,GP,F,16,mother
1087,GP,F,15,mother
1088,GP,M,16,father
1089,GP,M,16,mother
1090,GP,F,16,mother
1091,GP,F,15,mother
1092,GP,F,16,father
1093,GP,F,16,mother
1094,GP,M,15,mother
1095,GP,F,15,mother
1096,GP,M,16,mother
1097,GP,F,16,mother
1098,GP,F,16,mother
